t_H,dBz
1.167252662526152562e-06,-2.328306436538696289e-10
1.381144670631329063e-06,-2.980635035783052444e-03
1.613843323866603896e-06,-3.918287344276905060e-03
1.865410808932210784e-06,-2.654115203768014908e-03
2.135900558641878888e-06,-3.299896605312824249e-03
2.425359525659587234e-06,-2.306808484718203545e-03
2.733828523560077883e-06,-2.732693683356046677e-03
3.061343932131421752e-06,-1.974441343918442726e-03
3.407938265809207223e-06,-2.225044416263699532e-03
3.773640401050215587e-06,-1.658161170780658722e-03
4.158476713200798258e-06,-1.783081330358982086e-03
4.562470621749525890e-06,-1.367856166325509548e-03
4.985643954569241032e-06,-1.409945660270750523e-03
5.428016720543382689e-06,-1.109971781261265278e-03
5.889606654818635434e-06,-1.102592330425977707e-03
6.370430583046982065e-06,-8.876386564224958420e-04
6.870503966638352722e-06,-8.548179175704717636e-04
7.389841357507975772e-06,-7.012389833107590675e-04
7.928455488581676036e-06,-6.586501840502023697e-04
8.486359547532629222e-06,-5.487194866873323917e-04
9.063563993549905717e-06,-5.055696819908916950e-04
9.660080650064628571e-06,-4.265136667527258396e-04
1.027591952151851729e-05,-3.875149996019899845e-04
1.091108970285858959e-05,-3.303091507405042648e-04
1.156560028903186321e-05,-2.972832589875906706e-04
1.223945946549065411e-05,-2.556040417402982712e-04
1.293267541768727824e-05,-2.287476527271792293e-04
1.364525633107405156e-05,-1.981840759981423616e-04
1.437720857211388648e-05,-1.769018126651644707e-04
1.512853941676439717e-05,-1.543468679301440716e-04
1.589925523148849607e-05,-1.377362495986744761e-04
1.668936238274909556e-05,-1.209780748467892408e-04
1.749886541801970452e-05,-1.081151713151484728e-04
1.832777161325793713e-05,-9.557658631820231676e-05
1.917608460644260049e-05,-8.564268500776961446e-05
2.004381167353130877e-05,-7.618717791046947241e-05
2.093095645250286907e-05,-6.850311183370649815e-05
2.183752258133608848e-05,-6.130842666607350111e-05
2.276351551699917763e-05,-5.533705916604958475e-05
2.370893889747094363e-05,-4.980826633982360363e-05
2.467379817971959710e-05,-4.513637395575642586e-05
2.565809700172394514e-05,-4.084291140316054225e-05
2.666183900146279484e-05,-3.715902130352333188e-05
2.768502599792554975e-05,-3.378940891707316041e-05
2.872766344808042049e-05,-3.085935168201103806e-05
2.978975498990621418e-05,-2.818560824380256236e-05
3.087130244239233434e-05,-2.583412060630507767e-05
3.197231126250699162e-05,-2.369035064475610852e-05
3.309278326923958957e-05,-2.178652539441827685e-05
3.423271846259012818e-05,-2.005007445404771715e-05
3.539212411851622164e-05,-1.849502405093517154e-05
3.657100023701786995e-05,-1.707541014184243977e-05
3.776935045607388020e-05,-1.579559466335922480e-05
3.898717841366305947e-05,-1.462551153963431716e-05
4.022448410978540778e-05,-1.356438951916061342e-05
4.148127118241973221e-05,-1.259195414604619145e-05
4.275754326954483986e-05,-1.170562882180092856e-05
4.405330037116073072e-05,-1.089181751012802124e-05
4.536854612524621189e-05,-1.014716963254613802e-05
4.670328416978009045e-05,-9.462159141548909247e-06
4.805751450476236641e-05,-8.833056199364364147e-06
4.943124076817184687e-05,-8.252877705672290176e-06
5.082446296000853181e-05,-7.718332199146971107e-06
5.223718471825122833e-05,-7.224471573863411322e-06
5.366940604289993644e-05,-6.768353614461375400e-06
5.512112693395465612e-05,-6.346111149468924850e-06
5.659235466737300158e-05,-5.955138476565480232e-06
5.808308560517616570e-05,-5.592423804046120495e-06
5.959332338534295559e-05,-5.255887117527890950e-06
6.112307164585217834e-05,-4.943204658047761768e-06
6.267233402468264103e-05,-4.652504230762133375e-06
6.424110324587672949e-05,-4.381931830721441656e-06
6.582938658539205790e-05,-4.129924036533338949e-06
6.743718404322862625e-05,-3.895008376275654882e-06
6.906450289534404874e-05,-3.675850621220888570e-06
