t_H,dBz
4.027178590604307828e-07,4.656612873077392578e-10
5.041864596933010034e-07,-1.270913984626531601e-03
6.177589852995879482e-07,7.657886599190533161e-04
7.435054953930375632e-07,-2.365309745073318481e-03
8.814839702608878724e-07,9.246510453522205353e-04
1.031743067869683728e-06,-2.370217349380254745e-03
1.194324340758612379e-06,2.990189823321998119e-04
1.369263486594718415e-06,-1.839083619415760040e-03
1.556591655571537558e-06,-9.724207484396174550e-05
1.756336018843285274e-06,-1.165074994787573814e-03
1.968520791706396267e-06,-3.410713397897779942e-04
2.193167574660037644e-06,-8.426690474152565002e-04
2.430295580779784359e-06,-5.068489699624478817e-04
2.679922090464970097e-06,-6.688772700726985931e-04
2.942062792499200441e-06,-5.076855886727571487e-04
3.216732238797703758e-06,-5.360324867069721222e-04
3.503943389659980312e-06,-4.575976927299052477e-04
3.803708295890828595e-06,-4.503006930463016033e-04
4.116037871426669881e-06,-4.025319940410554409e-04
4.440942120709223673e-06,-3.810024354606866837e-04
4.778431048180209473e-06,-3.451117372605949640e-04
5.128512839291943237e-06,-3.228848217986524105e-04
5.491196134244091809e-06,-2.963079023174941540e-04
5.866488208994269371e-06,-2.753165899775922298e-04
6.254396339500090107e-06,-2.521154237911105156e-04
6.654927346971817315e-06,-2.319583145435899496e-04
7.068087143125012517e-06,-2.124881721101701260e-04
7.493882094422588125e-06,-1.957815838977694511e-04
7.932317203085403889e-06,-1.803844643291085958e-04
8.383398380829021335e-06,-1.666855823714286089e-04
8.847130629874300212e-06,-1.540204248158261180e-04
9.323517588200047612e-06,-1.425785594619810581e-04
9.812564712774474174e-06,-1.320664305239915848e-04
1.031427564157638699e-05,-1.223729195771738887e-04
1.082865492207929492e-05,-1.133275582105852664e-04
1.135570710175670683e-05,-1.050376886269077659e-04
1.189543490909272805e-05,-9.754608618095517159e-05
1.244784107257146388e-05,-9.072307148016989231e-05
1.301293013966642320e-05,-8.433832408627495170e-05
1.359070483886171132e-05,-7.830946560716256499e-05
1.418116880813613534e-05,-7.269739580806344748e-05
1.478432386647909880e-05,-6.756329094059765339e-05
1.540017365186940879e-05,-6.289033626671880484e-05
1.602872180228587240e-05,-5.861431418452411890e-05
1.666996831772848964e-05,-5.464086279971525073e-05
1.732391865516547114e-05,-5.088127363706007600e-05
1.799057281459681690e-05,-4.733711466542445123e-05
