t_H,dBz
1.208153776133258361e-06,0.000000000000000000e+00
1.512559492766740732e-06,-2.417378127574920654e-04
1.853277126429020427e-06,-6.370052142301574349e-05
2.230516656709369272e-06,-2.234498097095638514e-04
2.644452251843176782e-06,-6.591407873202115297e-05
3.095229658356402069e-06,-2.208405639976263046e-04
3.582973477023188025e-06,-8.175920811481773853e-05
4.107791028218343854e-06,-2.161925076507031918e-04
4.669775535148801282e-06,-8.608319330960512161e-05
5.269008852337719873e-06,-2.008806914091110229e-04
5.905563284613890573e-06,-8.956651436164975166e-05
6.579503406101139262e-06,-1.908564008772373199e-04
7.290887424460379407e-06,-9.792455239221453667e-05
8.039766726142261177e-06,-1.817421871237456799e-04
8.826189514365978539e-06,-1.040094648487865925e-04
9.650198080635163933e-06,-1.709107309579849243e-04
1.051183153322199360e-05,-1.088157878257334232e-04
1.141112625191453844e-05,-1.605508732609450817e-04
1.234811497852206230e-05,-1.128637813962996006e-04
1.332282863586442545e-05,-1.503017847426235676e-04
1.433529541827738285e-05,-1.154644996859133244e-04
1.538554170110728592e-05,-1.403118367306888103e-04
1.647359204071108252e-05,-1.170132309198379517e-04
1.759946826496161520e-05,-1.309900544583797455e-04
1.876319220173172653e-05,-1.174379140138626099e-04
1.996478567889425904e-05,-1.221236307173967361e-04
2.120426506735384464e-05,-1.166019937954843044e-04
2.248165037599392235e-05,-1.137315412051975727e-04
2.379695615672972053e-05,-1.146257854998111725e-04
2.515020059945527464e-05,-1.058130292221903801e-04
2.654139643709640950e-05,-1.115942723117768764e-04
2.797055822156835347e-05,-9.837988181971013546e-05
2.943770050478633493e-05,-1.077227061614394188e-04
3.094283601967617869e-05,-9.146938100457191467e-05
3.248597568017430604e-05,-1.031327701639384031e-04
3.406713221920654178e-05,-8.495652582496404648e-05
3.568631655070930719e-05,-9.792100172489881516e-05
3.734353595064021647e-05,-7.884349906817078590e-05
3.903880497091449797e-05,-9.232872980646789074e-05
4.077213088748976588e-05,-7.313696551136672497e-05
4.254352097632363439e-05,-8.646675269119441509e-05
